Sr No,Date,Startup Name,IndUSAtry Vertical,SubVertical,Location,Investors Name,InvestmentType,Amount,IsAmountDisclosed
2828,10-04-2015,iMMi Life,Mobile Health Tech,Not Specified,Chennai,Unitus Seed Fund,Seed Funding,0,0
2829,11-04-2015,Zomato,Restaurant Reviews,Not Specified,Gurgaon,Info Edge (India),Private Equity,25000000,1
2830,13-04-2015,ZopNow,Online Grocer,Not Specified,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,10000000,1
2831,13-04-2015,Nayi Disha,Ed-Tech,Not Specified,New Delhi,"Ajay Relan,",Seed Funding,300000,1
2832,,The Porter,Logistics Tech,Not Specified,Mumbai,Kae Capital,Seed Funding,500000,1
2833,13-04-2015,Commeasure,Online Hotel Booking,Not Specified,Noida,Jungle Ventures,Seed Funding,1000000,1
2834,13-04-2015,Capricoast,Online Kitchen Furniture,Not Specified,Bangalore,Accel Partners India,Seed Funding,1250000,1
2835,14-04-2015,LocalOye,Hyper-local Online Services,Not Specified,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,5000000,1
2836,15-04-2015,Grofers,Hyper-Local Online/Mobile Grocery,Not Specified,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,35000000,1
2837,15-04-2015,PepperTap,Hyper-Local Online/Mobile Grocery,Not Specified,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,10000000,1
2838,15-04-2015,Policy Bazaar,Consumer Internet  ,Not Specified,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,40000000,1
2839,16-04-2015,UrbanClap,Hyperlocal Mobile Services Marketplace,Not Specified,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,1600000,1
2840,16-04-2015,Taskbob,On Demand Mobile Handyman Services,Not Specified,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,1200000,1
2841,17-04-2015,Robosoft,Mobile App Development,Not Specified,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,12000000,1
2842,18-04-2015,Doormint,On Demand Handyman Services,Not Specified,Mumbai,Powai Lake Ventures,Seed Funding,0,0
2843,20-04-2015,Vyomo,Beauty & Wellness Mobile App,Not Specified,Gurgaon,YouWeCan Ventures,Seed Funding,0,0
2844,20-04-2015,Pastiwala,Material Collection & Recycling,Not Specified,Vadodara,Agnus Capital,Private Equity,4000000,1
2845,20-04-2015,1mg ,Online Pharmacy & Drug DB,Not Specified,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,6000000,1
2846,20-04-2015,Freshdesk,Online / Mobile Customer Support,Not Specified,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,50000000,1
2847,20-04-2015,Sulekha,Online Classifieds & Listings,Not Specified,Chennai,GIC ventures,Private Equity,28000000,1
2848,22-04-2015,FindYahan,Hyperlocal services marketplace,Not Specified,New Delhi,The Phoenix Fund,Private Equity,0,0
2849,22-04-2015,Eat.Shop.Love,Fashion ECommerce,Not Specified,Bangalore,Undisclosed Investor,Private Equity,3500000,1
2850,22-04-2015,Avanti Learning,Private Coaching Centers,Not Specified,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,1500000,1
2851,23-04-2015,Simplilearn,Online Certification Courses,Not Specified,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,15000000,1
2852,23-04-2015,Craftstvilla,Ethnic Product eCommerce,Not Specified,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,18000000,1
